STOCK_SYMBOL,OPEN_PRICE,CLOSE_PRICE,PREDICTED_PRICE
AAPL,211.44,211.98,
AAPL,212.0,210.5399,
AAPL,210.49,209.3302,
AAPL,209.355,209.072,
AAPL,209.03,208.6302,
AAPL,208.68,208.66,
AAPL,208.67,208.84,
AAPL,208.85,208.225,
AAPL,208.225,208.77,
AAPL,208.78,208.51,
AAPL,208.53,206.74,
AAPL,206.76,206.585,
AAPL,206.58,206.7,
AAPL,206.73,206.2107,
AAPL,206.21,207.0296,
AAPL,207.035,207.08,
AAPL,207.08,206.99,
AAPL,206.995,207.11,
AAPL,207.115,207.7175,
AAPL,207.6756,207.84,
AAPL,207.815,207.405,
AAPL,207.395,206.85,
AAPL,206.838,206.56,
AAPL,206.54,207.01,
AAPL,206.99,207.185,
AAPL,207.2,207.37,
AAPL,207.39,206.8319,
AAPL,206.8,207.155,
AAPL,207.18,207.0,
AAPL,206.9701,206.76,
AAPL,206.795,206.4349,
AAPL,206.4337,206.855,
AAPL,206.8001,207.0895,
AAPL,207.07,207.0676,
AAPL,207.04,206.96,
AAPL,206.975,207.63,
AAPL,207.635,206.9509,
AAPL,206.985,206.84,
AAPL,206.92,206.67,
AAPL,206.6899,206.25,
AAPL,206.26,205.541,
AAPL,205.52,205.2002,
AAPL,205.21,205.42,
AAPL,205.41,205.555,
AAPL,205.59,205.215,
AAPL,205.24,205.265,
AAPL,205.27,205.405,
AAPL,205.385,204.7,
AAPL,204.705,205.125,
AAPL,205.14,205.55,
AAPL,205.5317,205.35,
AAPL,205.32,205.37,
AAPL,205.37,205.075,
AAPL,205.05,204.96,
AAPL,204.935,205.0,
AAPL,205.03,205.165,
AAPL,205.165,205.3515,
AAPL,205.354,205.1316,
AAPL,205.115,205.145,
AAPL,205.1366,204.75,
AAPL,204.8,204.96,204.6380615234375
AAPL,204.94,205.2175,204.61959838867188
AAPL,205.225,204.93,204.61863708496094
AAPL,204.95,205.055,204.60955810546875
AAPL,205.04,204.945,204.60458374023438
AAPL,204.95,205.38,204.5951690673828
AAPL,205.4,205.61,204.6142120361328
AAPL,205.63,205.59,204.6675567626953
AAPL,205.61,205.555,204.7389373779297
AAPL,205.56,205.3763,204.81491088867188
AAPL,205.4,205.29,204.87582397460938
AAPL,205.27,205.7897,204.91603088378906
AAPL,205.8,206.105,204.9745635986328
AAPL,206.105,205.8,205.0635986328125
AAPL,205.815,205.67,205.14532470703125
AAPL,205.685,205.791,205.20687866210938
AAPL,205.805,205.525,205.25875854492188
AAPL,205.5444,205.835,205.281494140625
AAPL,205.845,205.96,205.30459594726562
AAPL,205.97,205.8342,205.33506774902344
AAPL,205.86,205.72,205.35934448242188
AAPL,205.715,205.75,205.3694610595703
AAPL,205.7519,205.55,205.37118530273438
AAPL,205.53,205.5,205.3529052734375
AAPL,205.495,205.605,205.31869506835938
AAPL,205.605,205.4204,205.28347778320312
AAPL,205.42,205.005,205.23703002929688
AAPL,204.9925,205.1261,205.15692138671875
AAPL,205.1795,205.135,205.06822204589844
AAPL,205.148,205.2446,204.98072814941406
AAPL,205.22,205.19,204.9080810546875
AAPL,205.17,205.335,204.846923828125
AAPL,205.32,205.225,204.8081512451172
AAPL,205.225,204.84,204.77963256835938
